x,y,risk_category
4,14,
6,0,
15,4,
14,12,
5,7,
9,11,
2,15,
7,10,
9,0,
14,1,
4,11,
14,13,
6,14,
9,13,
8,8,
4,4,
7,12,
15,0,
0,6,
8,1,
11,14,
3,1,
8,7,
8,9,
1,2,
12,7,
13,15,
0,13,
10,0,
4,10,
8,11,
1,6,
4,9,
14,11,
15,13,
9,1,
6,5,
2,1,
11,4,
9,8,
4,12,
0,11,
15,14,
5,11,
13,2,
2,4,
0,1,
3,4,
7,13,
9,12,
1,11,
6,2,
15,8,
4,5,
7,3,
12,13,
8,6,
11,8,
15,7,
12,3,
5,6,
12,10,
5,15,
14,7,
1,14,
0,9,
12,6,
2,11,
9,4,
2,7,
14,9,
5,4,
13,8,
13,6,
3,7,
6,15,
1,7,
3,15,
10,5,
13,1,
10,10,
2,5,
15,6,
5,0,
8,3,
4,8,
10,9,
2,10,
1,4,
10,11,
5,5,
11,13,
13,14,
15,1,
12,0,
3,2,
12,1,
10,2,
0,7,
6,1,
